time,RPM
36,0
122,0
180,0
244,0
303,0
341,0
409,0
476,1080
527,1080
587,1080
648,1080
716,1080
768,1080
860,1080
892,1080
951,1080
1007,1080
1072,1080
1131,1080
1192,1080
1251,1080
1312,1080
1371,1080
1435,1080
1505,6240
1560,6240
1622,6240
1689,6240
1754,6240
1797,6240
1857,6240
1917,6240
1979,6240
2038,6240
2098,6240
2161,6240
2220,6240
2301,6240
2364,6240
2425,6240
2476,6240
2521,4680
2583,4680
2640,4680
2705,4680
2766,4680
2825,4680
2884,4680
2945,4680
3038,4680
3073,4680
3131,4680
3199,4680
3248,4680
3309,4680
3370,4680
3430,4680
3492,7560
3551,7560
3612,7560
3672,7560
3733,7560
3799,7560
3862,7560
3935,7560
3992,7560
4036,7560
4097,7560
4157,7560
4218,7560
4315,7560
4336,7560
4402,7560
4462,7560
4526,4680
4587,4680
4646,4680
4711,4680
4767,4680
4829,4680
4890,4680
4951,4680
5011,4680
5072,4680
5134,4680
5215,4680
5272,4680
5327,4680
5383,4680
5439,4680
5501,4680
5596,8760
5620,8760
5684,8760
5745,8760
5806,8760
5866,8760
5927,8760
6010,8760
6067,8760
6124,8760
6181,8760
6232,8760
6291,8760
6359,8760
6414,8760
6476,8760
6538,5220
6597,5220
6654,5220
6738,5220
6799,5220
6863,5220
6921,5220
6963,5220
7025,5220
7085,5220
7146,5220
7207,5220
7270,5220
7329,5220
7390,5220
7471,5220
7528,5220
7598,7380
7646,7380
7694,7380
7756,7380
7816,7380
7877,7380
7939,7380
8002,7380
8056,7380
8117,7380
8192,7380
8251,7380
8308,7380
8366,7380
8426,7380
8487,7380
8549,7380
8609,7140
8670,7140
8732,7140
8791,7140
8852,7140
8924,7140
8979,7140
9036,7140
9118,7140
9155,7140
9218,7140
9279,7140
9340,7140
9436,7140
9458,7140
9523,7140
9607,6240
9663,6240
9726,6240
9764,6240
9828,6240
9889,6240
9949,6240
10010,6240
10072,6240
10128,6240
10196,6240
10254,6240
10334,6240
10391,6240
10448,6240
10505,6240
10559,6240
10620,7740
10715,7740
10739,7740
10803,7740
10864,7740
10925,7740
10986,7740
11046,7740
11108,7740
11192,7740
11249,7740
11304,7740
11352,7740
11411,7740
11480,7740
11530,7740
11596,7740
11658,5100
11717,5100
11797,5100
11856,5100
11913,5100
11993,5100
12017,5100
12080,5100
12144,5100
12205,5100
12266,5100
12327,5100
12387,5100
12449,5100
12510,5100
12591,5100
12648,6720
12715,6720
12752,6720
12814,6720
12875,6720
12936,6720
12996,6720
13058,6720
13118,6720
13178,6720
13274,6720
13310,6720
13369,6720
13426,6720
13482,6720
13543,6720
13606,6720
13667,4440
13726,4440
13787,4440
13849,4440
13909,4440
13970,4440
14030,4440
14092,4440
14159,4440
14216,4440
14273,4440
14335,4440
14396,4440
14456,4440
14553,4440
14576,4440
14639,4440
14700,8160
14781,8160
14847,8160
14902,8160
14951,8160
15005,8160
15066,8160
15126,8160
15187,8160
15250,8160
15309,8160
15370,8160
15430,8160
15492,8160
15574,8160
15630,8160
15672,3960
15735,3960
15800,3960
15863,3960
15918,3960
15979,3960
16040,3960
16102,3960
16162,3960
16249,3960
16280,3960
16376,3960
